campaign_id,Campaign Name,audience_segment_a,audience_segment_b,Name from,Sending date,Daily revenue,Subject,Sent,Non delivered,Hard bounces,Soft bounces,Non delivered rate,Delivered,Total opens,Opens,Trackable open rate,Apple MPP Opens,Total clicked,Clicked,Click rate,Click-to-Open rate,Unsubscribed,Unsubscription rate,Delivered rate,Hard Bounces rate,Soft Bounces rate,Complaints,Complaints rate,Audience Segment A IDs,Audience Segment B IDs
1920,YFS - Redirect - FreeClub £50 B&M (Jul25) (Batched),150,"182,157",50 B&M Via Your Freebie Style,2025-10-03,0.0,contact.FIRSTNAME | default : 'Hello'}} weekly £50 B&M Gift Card giveaway!,21618,5,0,5,0.0002,21613,11812,8511,0.4414,2330,1150,827,0.0383,0.09720000000000001,45,0.0021,0.9998,0.0,0.0002,0,0.0,[150],"[182, 157]"
1921,YFS - Redirect - Little Star Media - Super Free Slots (red design) (batched),194,"94,184",Your Freebie Style,2025-10-03,0.0,"contact.FIRSTNAME | default : ""Hello "" }} Claim An Exclusive 50 Free Spins!",11672,5,0,5,0.0004,11667,2983,2124,0.20420000000000002,1263,167,116,0.009899999999999999,0.0546,31,0.0027,0.9995999999999999,0.0,0.0004,1,0.0001,[194],"[94, 184]"
1924,YFS - Redirect - Veneficus - Pick My Postcode (Batched),209,,Postcode Winner At Your Freebie Style,2025-10-03,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Your free daily chance to win real money",4518,1,0,1,0.0002,4517,1621,1184,0.2848,359,174,139,0.0308,0.1174,17,0.0038,0.9998,0.0,0.0002,0,0.0,[209],[]
1922,YFS - Redirect - Clickwork7 - Custard (May25),97,147,Free £2 Via Your Freebie Style,2025-10-04,542.23,"contact.FIRSTNAME | default : ""Hello"" }} Top pick: Claim your £2 bonus",35048,23,5,18,0.0007000000000000001,35025,6808,4987,0.1592,3697,717,475,0.013600000000000001,0.09519999999999999,49,0.0014000000000000002,0.9993000000000001,0.0001,0.0005,3,0.0001,[97],[147]
1923,YFS - Redirect - Fluent - RewardsGiant £100 Cash (Oct25),150,"189,163",100 Cash Via Your Freebie Style,2025-10-04,0.0,contact.FIRSTNAME }} claim your £100 reward,23484,3,0,3,0.0001,23481,10581,8026,0.38280000000000003,2515,756,538,0.0229,0.067,60,0.0026,0.9998999999999999,0.0,0.0001,1,0.0,[150],"[189, 163]"
1933,YFS - Redirect - Qualitent - Reel Picks (Batched),"92,179,200",94,Reelpicks Via Your Freebie Style,2025-10-04,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Get up to 200 FS + No Dep Offers*",10741,3,0,3,0.0003,10738,3826,2777,0.2939,1290,152,108,0.0101,0.038900000000000004,27,0.0025,0.9997,0.0,0.0003,2,0.0002,"[92, 179, 200]",[94]
1917,YFS - Redirect - Abram Psychic,203,202,Free Reading Via Your Freebie Style,2025-10-05,494.8,contact.FIRSTNAME }} Abram's ready to reveal your life's turning point today,12948,2,0,2,0.0002,12946,2355,1845,0.16670000000000001,1881,63,37,0.0029,0.020099999999999996,33,0.0025,0.9998,0.0,0.0002,3,0.0002,[203],[202]
1926,YFS - Redirect - YouSweep - Tesco (Sep25),97,177,100 Tesco Via Your Freebie Style,2025-10-05,0.0,contact.FIRSTNAME }} Your £100 Tesco Gift Card Entry Needs Confirmation,35091,15,2,13,0.0004,35076,8172,5754,0.1844,3873,1972,1242,0.0354,0.2158,66,0.0019,0.9995999999999999,0.0001,0.0004,3,0.0001,[97],[177]
1927,YFS - Redirect - Better Collective - 123 Casino (Oct25),"92,179,200",94,Your Freebie Style,2025-10-05,0.0,"contact.FIRSTNAME | default : ""you!"" }} An important message inside",10060,2,1,1,0.0002,10058,4202,3023,0.3323,960,326,225,0.022400000000000003,0.07440000000000001,35,0.0034999999999999996,0.9998,0.0001,0.0001,2,0.0002,"[92, 179, 200]",[94]
1929,YFS - Redirect - Exceptional Ron,202,203,Free Reading Via Your Freebie Style,2025-10-05,0.0,contact.FIRSTNAME }} SHOCKING REVELATIONS: Psychic Ron sees your struggles (100% FREE),10736,19,0,19,0.0018,10717,1337,1100,0.12179999999999999,1684,32,23,0.0021,0.0209,28,0.0026,0.9982,0.0,0.0018,1,0.0001,[202],[203]
1930,YFS - Redirect - ForYouPromo (FRST Media) - Test and Keep Milka samples (With Email PrePop),96,144,Milka Samples Via Your Freebie Style,2025-10-06,601.61,"contact.FIRSTNAME | default : ""Hey "" }} - Your Milka Testing Kit is Waiting",35482,14,3,11,0.0004,35468,6594,4813,0.1588,5165,1283,947,0.026699999999999998,0.1968,61,0.0017000000000000001,0.9995999999999999,0.0001,0.0003,3,0.0001,[96],[144]
